GeneID	GSM7510191	GSM7510192	GSM7510193	GSM7510194	GSM7510195	GSM7510196	GSM7510197	GSM7510198	GSM7510199	GSM7510200	GSM7510201	GSM7510202
115196	1.394	1.939	1.816	1.48	1.24	0.5771	0.2923	0.6731	1.282	1.58	1.408	1.235
148254	0.357	0.7199	0.8326	0.599	0.8203	0.4697	0.3305	0.2818	0.6869	0.8101	0.2445	0.6665
80032	0.121	0.0311	0.09538	0	0.03325	0	0	0	0.01774	0.1186	0	0.01514
126295	1.716	1.339	2.407	1.987	1.925	1.511	1.176	0.939	1.475	1.761	1.733	2.562
101928631	1.8	2.777	1.774	2.106	0.9278	0.614	1.473	0.6138	1.98	1.702	1.123	1.183
58492	6.089	5.763	4.785	9.566	9.06	5.577	4.85	4.792	6.577	8.159	7.398	8.489
79816	1.019	2.486	2.77	0.7385	0.6816	2.904	2.867	1.297	0.873	1.077	0.7428	1.241
7089	0.2913	1.18	0.5513	0.03719	0	0.3279	0.4004	0	0.07692	0.1102	0	0.03281
166	338.6	626.5	592.2	201	189.7	313.3	279.7	308.2	371.1	331.9	289	245.2
105372242	0	0.1832	0	0	0.09793	0	0	0	0	0	0	0
2767	56.02	126.2	115.3	54.1	57.1	50.75	43.34	50.44	90.87	72.78	80.22	63.99
2769	0.7774	0.2698	0.5517	0.397	0.09617	1.432	1.679	0.3181	0.8211	0.539	0.4075	0.04378
100996351	0	0.08815	0.09013	0	0.04713	0.117	0.2993	0.03898	0.1509	0	0.1141	0.3004
8698	0.113	0.4575	0.6682	0.1442	0.06988	0	0	0	0.3729	0.1424	0.08461	0.1273
56926	92.38	130.4	115.2	135.4	141.7	116	121.9	106.8	138.9	114.3	155.5	114.2
60680	0.02915	0.1349	0.1207	0.1116	0	0.04474	0	0.07455	0.05773	0.03675	0.08732	0.03283
105372244	0	0	0.2791	0	0	0.1207	0	0	0	0	0	0
4782	18.73	48.29	40.02	24.59	24.59	19.13	12.28	14.56	62.67	53.5	30.39	24.46
