Gene,Pat3.Myeloid,Pat1.Myeloid,Pat2.Myeloid,Pat5.Myeloid,MS2.Myeloid,MS4.Myeloid,MS5.Myeloid
RNASEH2A,2.385,1.978,2.868,2.319,0,3.198,1.52
DCTN2,4.21,2.782,4.22,3.554,3.408,3.729,4.429
LAMTOR5,2.815,1.745,2.379,3.117,3.038,3.897,4.077
ARL6IP5,7.057,7.319,7.23,7.038,6.566,6.83,7.425
AGPAT1,1.491,1.467,1.816,1.789,1.767,2.749,3.553
SPTLC1,3.414,1.978,2.124,2.896,5.115,1.788,2.094
SLC35A1,2.815,3.01,3.296,2.319,2.538,3.321,3.37
ARFGEF1,3.773,4.265,3.72,4.11,4.156,4.422,4.228
AKAP3,1.142,0,0,0.3862,0,0,0.5528
RABAC1,2.815,1.467,2.595,3.065,3.408,3.198,1.52
DPYSL4,0,0,0,0,0,0.8619,0
SIVA1,3.33,3.295,3.973,3.731,2.538,4.247,3.716
CCT4,4.344,3.534,3.356,3.731,4.156,4.047,4.712
CCT2,4.387,4.683,4.591,4.675,3.408,4.247,4.835
TACC2,0,0.6671,0,0,0,0,0
POMT1,2.933,1.978,3.098,3.352,4.156,0.8619,1.927
TXNRD2,2.006,1.122,0.8798,2.563,2.538,1.788,2.094
DRAP1,4.467,3.459,4.22,4.53,3.408,4.308,5.347
CENPB,3.773,3.738,4.12,3.476,2.538,4.422,3.908
PRPF8,5.939,5.688,5.971,5.647,5.302,4.927,5.671
AHSA1,3.33,3.86,4.22,3.627,3.703,3.815,3.61
MXD4,5.805,5.204,5.942,5.041,4.5,5.645,5.208
ST6GALNAC2,0.6812,0,0.8798,0,1.767,0.8619,1.738
PDLIM5,4.061,3.534,3.852,3.627,3.703,4.848,4.549
ERLIN1,3.64,2.782,2.949,2.836,2.538,2.914,3.495
HEXIM1,2.385,3.379,3.414,4.185,2.538,3.198,2.617
