Gene,MOLM13_sgNT_R1,MOLM13_sgNT_R2
AC005332.2,0.025,0
AC005332.3,1.307,0.906
AC005332.4,1.781,2.385
AC005332.5,0.533,0.493
AC005332.6,15.24,16.189
AC005332.7,0,0.218
AC005336.1,0,0
AC005336.2,0,0
AC005336.3,0,0
AC005339.1,0.743,1.375
AC005341.1,0,0
AC005342.1,0,0
AC005342.2,0,0
AC005343.1,0,0
AC005343.4,2.015,2.844
AC005344.1,0,0
AC005345.1,0,0
AC005351.1,0,0
AC005355.1,0,0
AC005355.2,0.151,0
AC005357.1,0,0
AC005357.2,0.046,0
AC005358.1,0,0
AC005363.1,0,0
AC005363.2,0.602,0
AC005370.1,0,0
AC005375.1,0,0
AC005377.1,0,0
AC005379.1,0,0
AC005381.1,0,0
AC005383.1,0,0
AC005387.1,0,0
AC005387.2,0,0
AC005391.1,1.282,0.79
AC005392.1,0,0
AC005392.2,0,0.224
AC005392.3,0,0
AC005393.1,0.374,0.115
AC005394.1,0,0
AC005394.2,0.094,0.022
AC005399.1,0,0
AC005400.1,0.339,0.392
AC005410.1,0,0.067
AC005410.2,0.157,0.436
AC005412.1,0,0
AC005414.1,0,0
AC005476.1,0,0
AC005476.2,0,0
AC005479.1,0,0.114
AC005479.2,0,0
AC005480.1,0,0
AC005480.2,0,0
AC005481.1,0.021,0.078
AC005482.1,0,0
AC005486.1,0,0
AC005487.1,0,0
AC005488.1,0,0
AC005495.1,0,0
AC005495.2,0,0
AC005498.1,0,0
AC005498.2,0,0
AC005498.3,0,0
AC005513.1,0,0
AC005514.1,0,0
AC005515.1,0,0
AC005515.2,0,0
AC005518.1,0,0
AC005518.2,0,0
AC005519.1,0.64,0.493
AC005520.3,0,0.109
AC005520.4,0.201,0.278
AC005520.5,0.985,0.364
AC005520.6,0,0
AC005520.7,0.034,0.126
AC005521.1,0.084,0.232
AC005522.1,0,0
AC005523.1,0.523,0.806
AC005523.2,0,0.094
AC005524.1,0.035,0.064
AC005529.1,0,0.233
AC005531.1,0,0
AC005532.1,0.045,0.041
AC005532.2,0,0.361
AC005534.1,0.207,0.239
AC005534.2,0,0
AC005537.2,0,0
AC005538.1,0,0
AC005538.2,0,0
AC005538.3,0,0
AC005540.1,1.903,1.393
AC005544.1,0,0
AC005544.2,0,0
AC005546.1,2.609,1.895
AC005548.1,0,0
AC005549.1,0,0
AC005549.2,0,0
AC005550.1,0,0
AC005550.2,0,0
AC005551.1,0,0
AC005552.1,0,0
AC005559.1,0,0
AC005562.1,2.06,2.082
AC005562.2,0,0
AC005578.1,0.071,0.132
AC005580.1,0,0
AC005586.1,0,0
AC005586.2,1.808,1.432
AC005587.1,0,0.114
AC005588.1,0,0
AC005592.1,0,0
AC005592.2,1.749,1.617
AC005593.1,0,0
AC005594.1,0,0
AC005597.1,0,0
AC005599.1,0,0
AC005606.1,0.041,0
AC005606.2,0,0
AC005609.1,0,0
AC005609.2,0,0
AC005609.3,0,0
AC005609.4,0,0
AC005609.5,0.043,0.013
AC005614.1,0.06,0.037
AC005614.2,0,0
AC005616.1,0,0
AC005618.1,0.079,0.055
AC005618.2,0,0
AC005618.3,0,0
AC005618.4,0.242,0.447
AC005621.1,0,0
AC005622.1,0.043,0.198
AC005625.1,0,0
AC005631.1,0,0
AC005632.2,0,0
AC005632.3,1.936,2.278
AC005632.4,0,0
AC005632.5,0,0
AC005632.6,0,0
AC005670.1,0,0
AC005670.2,0,0
AC005670.3,5.822,5.8
AC005674.1,0.476,0.44
AC005674.2,0.394,0.537
AC005682.1,0.05,0
AC005682.2,0,0
AC005686.1,0,0
AC005691.1,0,0
AC005692.1,0,0
AC005692.2,0,0
AC005692.3,0,0
AC005695.1,0,0
AC005695.2,0,0
AC005695.3,0.314,0
AC005696.1,13.322,13.229
AC005696.2,0,0
AC005696.3,0,0.222
AC005696.4,0.023,0.021
AC005697.1,0,0
AC005697.2,0,0
AC005697.3,0,0
AC005699.1,0,0
AC005701.1,0,0
AC005702.1,0,0
AC005702.2,0.096,0.133
AC005702.3,0,0
AC005702.4,0,0
AC005702.5,0,0
AC005703.1,0,0
AC005703.2,0,0
AC005703.3,0,0
AC005703.4,0,0
AC005703.5,0.131,0
AC005703.6,0.11,0.253
AC005703.7,0,0
AC005722.1,0,0
AC005722.3,0,0
AC005722.4,0,0
AC005725.1,0,0
AC005726.1,0.666,0.59
AC005726.2,0,0
AC005726.3,0.244,0
AC005726.4,0,0.124
AC005730.1,0.212,0
AC005730.2,0.062,0
